name,star,pull command,version,dockerfilelink
ubuntu,10K+,docker pull ubuntu,"18.04, bionic-20210512, bionic",https://github.com/tianon/docker-brew-ubuntu-core/blob/c5bc8f61f0e0a8aa3780a8dc3a09ae6558693117/bionic/Dockerfile
ubuntu,10K+,docker pull ubuntu,"20.04, focal-20210416, focal, latest",https://github.com/tianon/docker-brew-ubuntu-core/blob/c5bc8f61f0e0a8aa3780a8dc3a09ae6558693117/focal/Dockerfile
ubuntu,10K+,docker pull ubuntu,"20.10, groovy-20210524, groovy",https://github.com/tianon/docker-brew-ubuntu-core/blob/c5bc8f61f0e0a8aa3780a8dc3a09ae6558693117/groovy/Dockerfile
ubuntu,10K+,docker pull ubuntu,"21.04, hirsute-20210522, hirsute, rolling",https://github.com/tianon/docker-brew-ubuntu-core/blob/c5bc8f61f0e0a8aa3780a8dc3a09ae6558693117/hirsute/Dockerfile
ubuntu,10K+,docker pull ubuntu,"21.10, impish-20210519, impish, devel",https://github.com/tianon/docker-brew-ubuntu-core/blob/c5bc8f61f0e0a8aa3780a8dc3a09ae6558693117/impish/Dockerfile
ubuntu,10K+,docker pull ubuntu,"14.04, trusty-20191217, trusty",https://github.com/tianon/docker-brew-ubuntu-core/blob/c5bc8f61f0e0a8aa3780a8dc3a09ae6558693117/trusty/Dockerfile
ubuntu,10K+,docker pull ubuntu,"16.04, xenial-20210429, xenial",https://github.com/tianon/docker-brew-ubuntu-core/blob/c5bc8f61f0e0a8aa3780a8dc3a09ae6558693117/xenial/Dockerfile
alpine,7.6K,docker pull alpine,"20210212, edge",https://github.com/alpinelinux/docker-alpine/blob/489953694b9dd165f615dc01971971ddf55701f8/x86_64/Dockerfile
alpine,7.6K,docker pull alpine,"3.14.0, 3.14, 3, latest",https://github.com/alpinelinux/docker-alpine/blob/6cde5b1c2838b647382fdbc71b5d3cef54c5c157/x86_64/Dockerfile
alpine,7.6K,docker pull alpine,"3.13.5, 3.13",https://github.com/alpinelinux/docker-alpine/blob/37579d92b9faa70398240431bc46720242faa5e5/x86_64/Dockerfile
alpine,7.6K,docker pull alpine,"3.12.7, 3.12",https://github.com/alpinelinux/docker-alpine/blob/8b8051f1c11daff18ada363488e145af9e201802/x86_64/Dockerfile
alpine,7.6K,docker pull alpine,"3.11.11, 3.11",https://github.com/alpinelinux/docker-alpine/blob/2cd76fb18830708f4af5a6927c3aa40867a4e8bb/x86_64/Dockerfile
postgres,9.5K,docker pull postgres,"13.3, 13, latest, 13.3-buster, 13-buster, buster",https://github.com/docker-library/postgres/blob/517c64f87e6661366b415df3f2273c76cea428b0/13/buster/Dockerfile
postgres,9.5K,docker pull postgres,"13.3-alpine, 13-alpine, alpine",https://github.com/docker-library/postgres/blob/517c64f87e6661366b415df3f2273c76cea428b0/13/alpine/Dockerfile
postgres,9.5K,docker pull postgres,"12.7, 12, 12.7-buster, 12-buster",https://github.com/docker-library/postgres/blob/517c64f87e6661366b415df3f2273c76cea428b0/12/buster/Dockerfile
postgres,9.5K,docker pull postgres,"12.7-alpine, 12-alpine",https://github.com/docker-library/postgres/blob/517c64f87e6661366b415df3f2273c76cea428b0/12/alpine/Dockerfile
postgres,9.5K,docker pull postgres,"11.12-buster, 11-buster",https://github.com/docker-library/postgres/blob/517c64f87e6661366b415df3f2273c76cea428b0/11/buster/Dockerfile
postgres,9.5K,docker pull postgres,"11.12, 11, 11.12-stretch, 11-stretch",https://github.com/docker-library/postgres/blob/517c64f87e6661366b415df3f2273c76cea428b0/11/stretch/Dockerfile
postgres,9.5K,docker pull postgres,"11.12-alpine, 11-alpine",https://github.com/docker-library/postgres/blob/517c64f87e6661366b415df3f2273c76cea428b0/11/alpine/Dockerfile
postgres,9.5K,docker pull postgres,"10.17-buster, 10-buster",https://github.com/docker-library/postgres/blob/517c64f87e6661366b415df3f2273c76cea428b0/10/buster/Dockerfile
postgres,9.5K,docker pull postgres,"10.17, 10, 10.17-stretch, 10-stretch",https://github.com/docker-library/postgres/blob/517c64f87e6661366b415df3f2273c76cea428b0/10/stretch/Dockerfile
postgres,9.5K,docker pull postgres,"10.17-alpine, 10-alpine",https://github.com/docker-library/postgres/blob/517c64f87e6661366b415df3f2273c76cea428b0/10/alpine/Dockerfile
postgres,9.5K,docker pull postgres,"9.6.22-buster, 9.6-buster, 9-buster",https://github.com/docker-library/postgres/blob/517c64f87e6661366b415df3f2273c76cea428b0/9.6/buster/Dockerfile
postgres,9.5K,docker pull postgres,"9.6.22, 9.6, 9, 9.6.22-stretch, 9.6-stretch, 9-stretch",https://github.com/docker-library/postgres/blob/517c64f87e6661366b415df3f2273c76cea428b0/9.6/stretch/Dockerfile
postgres,9.5K,docker pull postgres,"9.6.22-alpine, 9.6-alpine, 9-alpine",https://github.com/docker-library/postgres/blob/517c64f87e6661366b415df3f2273c76cea428b0/9.6/alpine/Dockerfile
busybox,2.3K,docker pull busybox,"1.33.1-uclibc, 1.33-uclibc, 1-uclibc, stable-uclibc, uclibc",https://github.com/docker-library/busybox/blob/2bcc4bf56c2a4594aa31feb8b42d5eab76d168bb/stable/uclibc/Dockerfile
busybox,2.3K,docker pull busybox,"1.33.1-glibc, 1.33-glibc, 1-glibc, stable-glibc, glibc",https://github.com/docker-library/busybox/blob/2bcc4bf56c2a4594aa31feb8b42d5eab76d168bb/stable/glibc/Dockerfile
busybox,2.3K,docker pull busybox,"1.33.1-musl, 1.33-musl, 1-musl, stable-musl, musl",https://github.com/docker-library/busybox/blob/2bcc4bf56c2a4594aa31feb8b42d5eab76d168bb/stable/musl/Dockerfile
busybox,2.3K,docker pull busybox,"1.33.1, 1.33, 1, stable, latest",https://github.com/docker-library/busybox/blob/2bcc4bf56c2a4594aa31feb8b42d5eab76d168bb/stable/uclibc/Dockerfile
redis,9.6K,docker pull redis,"6.2.4, 6.2, 6, latest, 6.2.4-buster, 6.2-buster, 6-buster, buster",https://github.com/docker-library/redis/blob/4422738bea4a9d38971a87fc820525864bb5ff62/6.2/Dockerfile
redis,9.6K,docker pull redis,"6.2.4-alpine, 6.2-alpine, 6-alpine, alpine, 6.2.4-alpine3.13, 6.2-alpine3.13, 6-alpine3.13, alpine3.13",https://github.com/docker-library/redis/blob/4422738bea4a9d38971a87fc820525864bb5ff62/6.2/alpine/Dockerfile
